TSP_spatial_abs,TSP_spatial_rel,TSP_entropy,TSP_cog,label
1.0422346828464597,0.1659449995422559,0.9992465483351621,2.27317452626639,0
0.9858900362216951,0.1565226776978325,0.9982269615748026,2.333842042529362,0
0.979086448209334,0.1516455103932976,0.997437424801236,2.3686914507229297,0
1.05447218271901,0.14905663247897993,0.9969879418863711,2.3848476541388113,0
1.2052019651940693,0.15612811106897287,0.9981513297194596,2.3383464882168354,0
1.4274249261146181,0.16726833116805254,0.9993382368600392,2.269613757229802,0
1.4203845258317145,0.1648491596484907,0.9991149322159426,2.288851233951215,0
1.2670282693319685,0.16381624520335017,0.9990180737865033,2.295182398845296,1
1.1705391909254226,0.1567099999380376,0.9981710480521566,2.339880738042204,1
1.1394266683772598,0.15306699082786104,0.9976760628954773,2.3590947247057876,1
1.1163724264786747,0.15386936521504313,0.9978965838084548,2.3463611401262394,1
1.1736741698631281,0.1542530829682937,0.9979874069580603,2.3400628078559,1
1.1620433810515542,0.1518444583837538,0.9975939820872234,2.3580805920580232,1
0.9520857901373931,0.15087428294781327,0.9974442817701145,2.363581994283483,1
0.85337927630512,0.1474273973285291,0.9967394255440745,2.3917104056444716,1
0.8477381415702845,0.14634607515939524,0.9963909040737328,2.4055914275343566,1
1.0832469420711797,0.16108585341986748,0.9987789659655958,2.3037583230348275,1
1.3480499247797006,0.17102068207768714,0.9995562622062772,2.237299737276648,1
1.548342174270322,0.18264669580047066,0.9996261814152454,2.157412819838248,0
1.4373780333387147,0.18663322103472263,0.9995547133178089,2.136410349584472,0
0.9908630436792445,0.16904661489120612,0.9994429137410447,2.2456500302302334,0
0.8034931328648011,0.156595037385653,0.9982647328181057,2.3288635337555386,0
0.7250687863303902,0.14077200575680043,0.9950109620119731,2.4471615856168807,0
0.8028234377684418,0.1366541530850137,0.9939386111781274,2.4745252543176064,0
0.8877467734260163,0.1381987423344045,0.994321589354806,2.4654508243655076,0
0.8674665153947958,0.13214236057920906,0.9925781607796027,2.5062745283286127,0
0.8188557812489416,0.13657224039016946,0.9939365033339626,2.4746440254757447,0
0.981613655344099,0.15045838725589422,0.9971299187733015,2.3823776785303448,0
1.0946566428622637,0.1611006348176557,0.998737311452413,2.3110598883353703,0
1.361865909965329,0.17373413083389763,0.9997089405781646,2.2396839915726243,1
1.4440173986984361,0.17362088011248988,0.9997067681505553,2.2355323074905438,1
1.2623301860587846,0.1638911537769573,0.999084007848558,2.281811131199066,1
